ID,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Season,Review Rating,Previous Purchases,Frequency of Purchases,Height,Breadth,Length,Vendor Name,Vendor Ratings,Warehouse Name,Profit Margins (%)
1,Male,Shirt,Clothing,31,Illinois,L,Spring,2.6,10,Every 3 Months,17,20,14,Vendor D,2.6,Warehouse A,42.51
2,Male,Hoodie,Clothing,50,Hawaii,L,Summer,2.9,16,Bi-Weekly,12,31,48,Vendor C,3.3,Warehouse B,32.29
3,Male,Sneakers,Footwear,36,Vermont,L,Summer,4.7,48,Quarterly,11,38,36,Vendor H,3.9,Warehouse C,38.72
4,Female,Blouse,Clothing,72,Texas,L,Winter,3.2,28,Weekly,18,16,49,Vendor G,3.0,Warehouse D,18.93
5,Male,Skirt,Clothing,38,Kentucky,M,Fall,4.4,27,Annually,13,48,38,Vendor E,1.5,Warehouse E,12.46
6,Male,Socks,Clothing,36,Nebraska,M,Spring,3.5,37,Fortnightly,20,27,31,Vendor E,1.5,Warehouse E,24.7
7,Male,Pants,Clothing,83,New Mexico,M,Spring,3.3,4,Every 3 Months,11,30,45,Vendor C,3.3,Warehouse E,6.39
8,Male,Hoodie,Clothing,70,Wyoming,L,Fall,3.2,36,Every 3 Months,9,43,47,Vendor G,3.0,Warehouse E,16.91
9,Female,Jeans,Clothing,41,Alabama,M,Fall,4.3,36,Every 3 Months,5,25,33,Vendor A,2.2,Warehouse E,8.65
10,Male,Coat,Outerwear,46,New Hampshire,S,Fall,2.6,48,Annually,6,37,26,Vendor G,3.0,Warehouse E,7.5
11,Male,Belt,Accessories,83,New York,M,Fall,3.9,6,Bi-Weekly,14,11,16,Vendor D,2.6,Warehouse E,29.79
12,Male,Gloves,Accessories,37,Utah,M,Fall,3.9,44,Annually,17,15,22,Vendor H,3.9,Warehouse E,17.54
13,Female,Shirt,Clothing,34,Kansas,M,Spring,2.7,1,Quarterly,9,46,38,Vendor H,3.9,Warehouse E,23.63
14,Female,Handbag,Accessories,48,Colorado,M,Spring,4.3,16,Every 3 Months,14,34,46,Vendor C,3.3,Warehouse E,27.26
15,Female,Handbag,Accessories,29,Kentucky,S,Fall,3.8,23,Monthly,8,32,43,Vendor B,4.4,Warehouse E,49.47
16,Male,Sunglasses,Accessories,82,Michigan,M,Summer,2.6,17,Quarterly,6,33,33,Vendor H,3.9,Warehouse E,34.92
17,Female,Hoodie,Clothing,25,Montana,M,Spring,4.8,45,Annually,19,35,40,Vendor H,3.9,Warehouse E,30.51
18,Male,Coat,Outerwear,53,New York,L,Winter,4.7,34,Weekly,14,15,20,Vendor E,1.5,Warehouse E,39.75
19,Male,Shirt,Clothing,84,Nebraska,M,Winter,4.9,15,Annually,7,47,28,Vendor B,4.4,Warehouse E,47.07
20,Female,Sweater,Clothing,31,Indiana,S,Winter,4.9,11,Every 3 Months,7,25,13,Vendor B,4.4,Warehouse E,26.61
21,Male,Handbag,Accessories,63,Hawaii,M,Fall,3.2,32,Bi-Weekly,7,28,19,Vendor G,3.0,Warehouse B,33.62
22,Male,Shirt,Clothing,86,Indiana,S,Fall,3.3,26,Weekly,6,35,22,Vendor G,3.0,Warehouse E,22.76
23,Male,Boots,Footwear,99,Alabama,M,Summer,3.8,26,Bi-Weekly,5,49,28,Vendor A,2.2,Warehouse E,25.65
24,Male,Jeans,Clothing,59,Kentucky,S,Winter,3.9,5,Annually,11,45,50,Vendor E,1.5,Warehouse E,32.95
25,Male,Socks,Clothing,37,Oklahoma,M,Winter,4.9,20,Fortnightly,13,18,14,Vendor E,1.5,Warehouse E,47.68
